Date,Product,Sales,Unit_Price,Revenue,Month,Year
2024-01-01,Product 1,252,27.97,7047.29,1,2024
2024-02-01,Product 1,420,27.32,11474.37,2,2024
2024-03-01,Product 1,338,25.97,8777.35,3,2024
2024-04-01,Product 1,271,21.56,5842.75,4,2024
2024-05-01,Product 1,480,24.59,11804.39,5,2024
2024-06-01,Product 1,249,21.43,5335.74,6,2024
2024-07-01,Product 1,280,20.21,5657.64,7,2024
2024-08-01,Product 1,407,27.22,11078.54,8,2024
2024-09-01,Product 1,443,20.01,8863.45,9,2024
2024-10-01,Product 1,426,26.17,11150.47,10,2024
2024-11-01,Product 1,463,25.25,11689.62,11,2024
2024-12-01,Product 1,385,20.23,7788.79,12,2024
2024-01-01,Product 2,208,24.0,4991.71,1,2024
2024-02-01,Product 2,337,23.66,7974.64,2,2024
2024-03-01,Product 2,339,20.91,7087.16,3,2024
2024-04-01,Product 2,200,23.82,4764.92,4,2024
2024-05-01,Product 2,393,25.92,10188.19,5,2024
2024-06-01,Product 2,280,28.6,8007.83,6,2024
2024-07-01,Product 2,284,21.71,6164.29,7,2024
2024-08-01,Product 2,316,20.13,6361.92,8,2024
2024-09-01,Product 2,238,29.66,7058.2,9,2024
2024-10-01,Product 2,391,23.85,9326.98,10,2024
2024-11-01,Product 2,495,20.98,10383.48,11,2024
2024-12-01,Product 2,489,22.41,10958.61,12,2024
2024-01-01,Product 3,413,20.34,8402.02,1,2024
2024-02-01,Product 3,355,23.91,8488.27,2,2024
2024-03-01,Product 3,199,26.63,5298.42,3,2024
2024-04-01,Product 3,151,24.25,3661.99,4,2024
2024-05-01,Product 3,203,25.47,5169.82,5,2024
2024-06-01,Product 3,459,20.31,9323.73,6,2024
2024-07-01,Product 3,367,24.5,8990.6,7,2024
2024-08-01,Product 3,351,28.95,10160.84,8,2024
2024-09-01,Product 3,419,27.27,11427.27,9,2024
2024-10-01,Product 3,420,20.88,8771.67,10,2024
2024-11-01,Product 3,364,25.21,9175.84,11,2024
2024-12-01,Product 3,339,23.25,7882.87,12,2024
2024-01-01,Product 4,357,27.47,9807.93,1,2024
2024-02-01,Product 4,202,25.87,5225.24,2,2024
2024-03-01,Product 4,366,22.81,8348.22,3,2024
2024-04-01,Product 4,190,22.96,4362.92,4,2024
2024-05-01,Product 4,450,20.75,9335.48,5,2024
2024-06-01,Product 4,476,24.23,11535.39,6,2024
2024-07-01,Product 4,278,21.99,6112.43,7,2024
2024-08-01,Product 4,212,28.15,5968.78,8,2024
2024-09-01,Product 4,230,27.11,6236.09,9,2024
2024-10-01,Product 4,438,26.06,11414.1,10,2024
2024-11-01,Product 4,380,26.51,10074.09,11,2024
2024-12-01,Product 4,177,28.63,5067.69,12,2024
2024-01-01,Product 5,477,24.49,11683.88,1,2024
2024-02-01,Product 5,182,20.64,3755.68,2,2024
2024-03-01,Product 5,211,23.25,4906.14,3,2024
2024-04-01,Product 5,248,25.91,6426.42,4,2024
2024-05-01,Product 5,363,28.87,10480.58,5,2024
2024-06-01,Product 5,376,21.2,7969.67,6,2024
2024-07-01,Product 5,280,27.61,7730.2,7,2024
